FILE_ID	SOURCE	TARGET
2015-004265-81	Anemia en sujetos con enfermedad renal crónica no dependiente de diálisis (ERC no dependiente de diálisis)	Disminución de la hemoglobina en la sangre de pacientes que sufren de pérdida progresiva de la función renal
2016-000609-36	anemia ferropénica	anemia ferropénica que es debida a una disminución en el número de glóbulos rojos en la sangre por falta de hierro
2015-002496-26	Anemia ferropénica con enfermedad inflamatoria intersticial	Anemia (bajo número de células sanguíneas sanas) con enfermedad intestinal inflamatoria (inflamación de todo o parte del tracto digestivo)
2016-002660-13	ANEMIA FERROPÉNICA SECUNDARIA A HEMORRAGIA DIGESTIVA AGUDA	ANEMIA FERROPÉNICA TRAS HEMORRAGIA DIGESTIVA AGUDA 
2019-001882-34	Anemia hemolítica autoinmune por anticuerpos calientes (AHAIc)	La anemia hemolítica autoinmune (AHAI) es un trastorno adquirido que se manifiesta por la destrucción de los glóbulos rojos mediada por autoanticuerpos
2021-001211-90	Anemia hemolítica autoinmunitaria por anticuerpos calientes	Trastorno autoinmunitario caracterizado por la destrucción prematura de eritrocitos sanos
2014-000363-40	Anemia Idiopática aplástica severa, un síndrome de insuficiencia de la médula ósea que se traduce en el tejido hematopoyético normal, completamente ausente de la médula ósea, lo que representa la pancitopenia subsiguiente	Anemia aplástica severa es una enf. hematológica de la médula ósea que resulta en pancitopenia, una condición médica donde hay una reducción del número de células blancas en sangre, red y plaquetas
2015-003740-39	Anestesia en la biopsia de próstata	Procedimiento para quitar el dolor durante la toma de muestras de la próstata 
2017-000789-31	Angina refractaria	dolor torácico debido a enfermedad arterial coronaria que se produce pese a tratamiento optimo y que no puede ser tratada con angioplastia de balón o cirugía de bypass
2020-003918-12	Angioedema hereditario	Angioedema hereditario (AEH) es una afección caracterizada por episodios recurrentes dolorosos de hinchazón en partes del cuerpo incluidas la cara, garganta, manos, pies y abdomen.
2016-000485-34	Angiosarcoma avanzado	Un cáncer de las células endoteliales
2016-002890-37	Ansiolisis preoperatoria en niños mediante terapia combinada farmacológica con hidroxicina y no farmacológica (técnica distractoria con payaso)	Ensayo clínico para comparar la disminución de ansiedad en niños tratados con hidroxicina frente a distracción con payasos
2014-002442-45	Anticoagulación mantenida con apixaban (inhibidor directo del factor Xa) durante la Ablación con catéter de la Fibrilación Auricular: Comparación con la terapia mantenida con antagonistas de la vitamina K (AXAFA)	Durante ablación de fibrilación auricular, es necesario realizar el procedimiento bajo tratamiento con anticoagulantes para prevenir coagulación y poder reducir riesgo de que puedan producirse infartos cerebrales relacionados con el mismo. Este estudio compara dos tipos de drogas anticoagulantes antes y después del procedimiento de ablación con catéter de fibrilación auricular. Las drogas son: el inhibidor directo del factor Xa – apixaban y cualquiera fármacos antagonistas estándares vitamina K
2015-001758-14	Arteritis de células gigantes (ACG)	Arteritis de células gigantes (ACG) es una condición en la cual las arterias medianas y grandes, por lo general en la cabeza y el cuello, se inflaman
2017-004518-24	Artritis idiopática juvenil	Artritis en la infancia
2015-000435-33	Artritis idiopática juvenil sistémica (AIJs)	La artritis idiopática juvenil sistémica (AIJs) es una enfermedad que causa afectación articular persistente, inflamación, rigidez, fiebre y erupciones en niños y se manifiesta antes de los 16 años
2018-004725-86	Artritis Psoriásica	La artritis psoriásica es un tipo de artritis inflamatoria que puede causar hinchazón, rigidez y dolor en las articulaciones
2018-002748-10	Artritis psoriásica	La artritis psoriásica es una forma de artritis que afecta a algunas personas con psoriasis (piel con escamas)
2016-003937-62	Artritis psoriásica	Artritis asociada con psoriasis
2018-002306-31	Artritis Reumatoide	Enfermedad en la cual la inflamación e hinchazón afectan a las articulaciones causando dolor
2018-000666-10	Artritis Reumatoide	Enfermedad a través de la cual la inflamación e hinchazón afecta a las articulaciones causando dolor
2018-003933-14	Artritis reumatoide, artritis psoriásica, espondilitis anquilosante o espondiloartritis axial no radiográfica activas	Enfermedades reumáticas
2019-002742-20	Asma	El asma es una enfermedad de las vías respiratorias de los pulmones
2017-001040-35	Asma grave no controlado	El asma (una enfermedad que causa dificultad para respirar) que no está controlada, de modo que los episodios de dificultad respiratoria ocurren a pesar del uso de otros tratamientos disponibles
2011-003938-14	aspergilosis invasiva	infección por hongo
2018-003975-36	Aspergilosis invasiva y Mucormicosis invasiva	Infecciones fúngicas invasoras
2016-003993-42	Astenozoospermia	Infertilidad debida a movilidad reducida del esperma
2019-000241-12	Astrocitoma difuso de grado II según la OMS progresivo o recurrente, astrocitoma anaplásico de grado III y glioblastoma recurrente que han fracasado con la radiación y la quimioterapia y con programación de una resección de rescate planificada	Tumores cerebrales que no han respondido al tratamiento, han recaído tras un tratamiento y que no pueden ser curados o tratados mediante cirugía, medicamentos u otros tratamientos conocidos
2020-002812-36	Ataxia de Friedreich (MOVE-FA)	La ataxia de Friedreich (MOVE-FA) es una enfermedad neurodegenerativa autosómica recesiva que afecta principalmente al sistema nervioso y al corazón.
2010-022863-36	Atelectasias/neumonias postoperatorias	complicaciones respiratorias postoperatorias
2012-004208-37	aterosclerosis coronaria	Formación de placas en las arterias del corazón en pacientes con un incremento de colesterol en sangre.
2017-000981-31	Atezolizumab, pertuzumab y trastuzumab con quimioterapia como tratamiento neoadyuvante en pacientes con cáncer de mama precoz y localmente avanzado HER2 positivo de alto riesgo	Tratamiento neoadyuvante (antes de la cirugia) con Atezolizumab, Pertuzumab e Trastuzumab en pacientes con cáncer de mama precoz y localmente avanzado HER2 positivo de alto riesgo
2019-003807-37	Atresia Biliar	Trastorno hepático pediátrico en el que uno o más conductos biliares son anormalmente estrechos, están bloqueados o están ausentes
2020-005174-94	Atrofia geográfica (AG) secundaria a degeneración macular relacionada con la edad (DMAE)	Pérdida progresiva de la visión central, distorsión de imágenes y líneas rectas, y presencia de áreas borrosas y oscuras en la visión central.
2016-000423-13	Atrofia geográfica secundaria a degeneración macular relacionada con la edad	Atrofia Geográfica (AG) es una forma avanzada de la degeneración macular relacionada con la edad. Es una enfermedad progresiva e irreversible del ojo que causa la pérdida severa de la función visual
2016-000750-35	Atrofia Muscular Espinal (AME)	Atrofia muscular espinal es una enfermedad genética neuromuscular progresiva caracterizada por profunda debilidad y atrofia muscular que es la causa genética principal de muerte en bebes e infantes
2018-004383-65	Atrofia Muscular Espinal de comienzo Tardío (AME)	La Atrofia Muscular Espinal (AME) de inicio tardío es una enfermedad hereditaria de los nervios motores (los nervios que envían señales desde el cerebro a los músculos) causando debilidad muscular
2018-001077-24	Atropina para la progresión de la miopía en niños (CHAMP): un estudio de fase 3 con tres grupos, aleatorizado, con doble enmascaramiento, controlado con placebo, sobre una solución oftálmica de atropina sulfato al 0,01% y 0,02%	Estudio del ralentizamiento de la progresión (emperoramiento) de la miopía (ser corto de vista) en niños probando dosis muy bajas de atropina en gotas en los ojos o placebo (gotas sin atropina)
2018-004046-41	Aumento de hueso alveolar mediante Células Madre Mesenquimales y gránulos de fosfato cálcico bifásico previo a la colocación de implantes dentales	Estudio para evaluar el uso de las propias Células Madre del paciente en combinación con un material para el aumento del hueso mandibular
2012-003447-29	Bacteriemia causada por Staphylococcus Aureus	Presencia de la bacteria Staphylococcus Aureus en la sangre
2017-003612-39	Bacteriemia de catéter causada por estafilococos coagulasa-negativa	Infección del catéter causado por bacterias del tipo estafilococáceas
2015-004219-19	Bacteriemia monomicrobiana de cualquier origen por Enterobacteriacea	Bacterias en sangre debido a Enterobacterias
2020-000064-39	Bacteriemia por enterobacterias resistentes a cefalosporinas de tercera generación	Infecciones producidas por enterobacterias resistentes
2013-000577-77	Bacteriemia por Staphylococcus aureus de bajo riesgo	Bacteriemia, o infección de la sangre, causada por una bacteria llamada Staphylococcus aureus en pacientes con bajo riesgo de complicaciones asociadas a S.Aureus
2013-000586-37	Bacteriemia por Staphylococcus aureus resistente a meticilina complicada o no complicada	Infección grave por Staphylococcus aureus resistente a meticilina
2018-004400-19	Baja respuesta ovárica	Envejecimiento del ovario
2020-001026-62	Beneficios de la inhalación de una solución salina hipertónica al 7% previo a la técnica ELTGOL de fisioterapia, en pacientes con bronquiectasias	Beneficios de la inhalación de un suero salino previo a fisioterapia respiratoria, en pacientes con bronquiectasias
2020-001026-62	BRONQUIECTASIAS	enfermedad crónica inflamatoria de las vías aéreas con dilatación de los bronquios
2017-003323-30	BTC no resecable o recurrente / metastásico	Cáncer del tracto biliar que, o bien no se puede extirpar mediante cirugía, o ha regresado
2016-002834-59	Calcificación cardiovascular en los vasos sanguíneos de pacientes con nefropatía renal (NT) sometidos a hemodiálisis (HD)	La acumulación de calcio en los vasos sanguíneos coronarios en pacientes con enfermedad renal
2018-001301-90	Calcifilaxis (arteriolopatía urémica calcificada, AUC)	Enfermedad rara de calcificación de los pequeños vasos sanguíneos en el tejido graso y las capas más profundas de la piel
2017-001068-39	Cambios en la morfología ósea del alveolo posextracción, preservado con fibrina rica en plaquetas y leucocitos (L-PRF) vs. tratamiento convencional	Cambios en el hueso después de la extracción de un diente y rellenado el espacio con un producto obtenido de la sangre del paciente (L-PRF) frente al tratamiento convencional
2016-005189-75	Cáncer	El cáncer es una enfermedad con un crecimiento incontrolado de células malignas en el cuerpo y la capacidad de estas células para propagarse desde el sitio original a un sitio distante
2014-001017-61	CÁNCER COLORRECTAL METASTÁSICO	Cáncer de colon que se ha extendido a otra parte del cuerpo
2020-000443-31	Cáncer colorrectal metastásico con ausencia de mutación en los genes RAS, BRAF and EGFR-ECD que hayan recibido un tratamiento de primera linea basado en cetuximab y que hayan presentado progresión de la enfermedad durante o después del tratamiento de segunda línea sin tratamiento anti-EGFR o que hayan suspendido el tratamiento de segunda linea por toxicidad	Cáncer colorrectal metastásico en pacientes sin mutación (alteración) en los genes RAS, BRAF and EGFR-ECD y que hayan recibido 2 líneas de tratamiento para la enfermedad avanzada
2018-001201-93	Cáncer de células renales localmente avanzado o metastásico	Pacientes con cáncer de riñón avanzado o que se ha extendido
2014-003177-42	Cancer de cérvix	Tumor en el cérvix o cuello uterino
2019-004895-21	Cáncer de Cérvix	El cáncer de Cérvix es una enfermedad en la cual las células del cérvix llegan a ser anormales y empiezan a crecer de forma incontrolable, formando tumores
2019-004112-60	Cáncer de endometrio	Cáncer en el revestimiento del útero o del útero
2017-004387-35	Cáncer de endometrio avanzado	Cáncer endometrial avanzado [cáncer del revestimiento del útero (o útero)]
2019-002455-42	Cancer de mama	El cancer de mama es un cancer que se desarrolla en el tejido mamario
2019-002746-21	Cáncer de mama avanzado HER2 positivo	Cáncer de mama avanzado que se diferencia de otros tipos de cáncer de mama por el estadío y presencia de moléculas que responden a ciertos tratamientos
2015-000106-19	Cáncer de mama avanzado o metastásico ER+/HER2-	Cáncer de mama que se ha extendido más alla del tejido de la mama y gáglios linfáticos circundantes y resultado positivo en test para receptores de estrógenos y negativo Her2
2019-004200-35	Cáncer de mama localmente avanzado o metastásico	El cáncer de mama es un cáncer que se desarrolla en los tejidos mamarios y continúa creciendo localmente o diseminándose a otras partes del cuerpo (metastásico)
2016-002453-38	Cáncer de mama metastásico con metástasis cerebrales estables	Cáncer de mama que se ha extendido al cerebro
2013-003947-51	Cáncer de mama metastásico con receptor hormonal positivo	Pacientes de cáncer de mama en estadios avanzados que recibieron previamente tratamiento hormonal
2019-000998-23	Cáncer de mama metastásico o localmente avanzado	Cáncer de mama que ha progresado y se ha propagado a los tejidos y ganglios linfáticos alrededor del tórax, el cuello y debajo del esternón, o que se ha diseminado a otras partes del cuerpo
2014-002113-39	Cáncer de mama negativo para HER2 y positivo para los receptores hormonales y con metástasis óseas, que están recibiendo hormonoterapia de base	Cancer de mama que ha diseminado a huesos, tratado con tratamiento hormonal estándar
2016-004024-29	Cáncer de mama negativo triple (TNBC)	El cáncer triple de mama negativo es un cáncer que se desarrolla a partir del tejido mamario y no tiene el receptor Her2 o receptores para las hormonas progesterona y estrógeno
2018-001881-40	Cáncer de mama positivo para receptor HER2	Cáncer de mama positivo para receptor HER2 se refiere a un cáncer que es positivo para la proteína HER2 que estimula el crecimiento de las células cancerígenas
2014-002001-37	Cáncer de mama primario	Cáncer de mama recién diagnosticado
2012-000738-21	Cáncer de mama primario HER2 positivo recientemente diagnosticado	Un tipo de cancer de mama inicial llamado "HER2-positivo" debido a la presencia de un marcador en las células del cáncer de mama llamado HER2
2017-004869-27	Cáncer de mama RE+/HER2- en estadio inicial, de alto riesgo, recién diagnosticado	Cáncer de mama con receptores estrogénicos positivos y receptor tipo 2 del factor de crecimiento epidérmico humano negativo (RE+/HER2-) en estadio inicial de alto riesgo
2020-000531-47	CÁNCER DE MAMA TRIPLE NEGATIVO	El cáncer de mama triple negativo se refiere a un tipo de cáncer de mama que no expresa los genes para los receptores de estrógenos (ER), el receptor de progesterona (PgR) o HER2
2018-000977-62	Cáncer de mama triple negativo	Cáncer de mama negativo para receptor de estrógeno, receptor de progesterona y HER2
2021-000293-28	Cáncer de ovario resistente al platino y recurrente	Cáncer de ovario que reaparece después de una terapia con platino
2016-003472-52	Cáncer de ovario, de trompa de Falopio o peritoneal primario	El cáncer de ovario es una enfermedad en la cual las células de ovario, trompa de Falopio o revestimiento de la cavidad abdominal crecen anormalmente en células cancerosas y se propagan
2016-001099-31	Cáncer de páncreas metastásico en primera línea de tratamiento	Cáncer de páncreas que se ha extendido a otras partes del cuerpo
2017-000160-15	Cáncer de próstata avanzado sensible a los andrógenos	Cáncer de próstata grave y avanzado en varones cuyo cáncer responde a hormonas masculinas 
2013-003022-92	cáncer de próstata mestastásico resistente a la castración (CPRCm)	cáncer de próstata (glándula del sistema reproductor masculino) metastásico (extendido a otras partes del cuerpo) en el que no ha sido efectiva ni la cirugía ni ningún otro tratamiento
2017-004377-13	cáncer de próstata metastásico hormono-sensible	cáncer de próstata con metástasis que responde a tratamiento hormonal
2018-000285-10	Cáncer de próstata metastásico resistente a la castración (mCRPC) y otros cánceres avanzados con tumores sólidos	Cáncer de próstata que se ha diseminado a otras partes del cuerpo más allá de la próstata y continúa diseminándose a pesar del uso de terapia hormonal. Cánceres que tienen tumores sólidos. 
2013-004711-50	Cáncer de próstata resistente a la castración metastásico	Cáncer de próstata que se ha diseminado a pesar de tratamientos reductores de la testosterona
2015-003183-36	Cáncer de pulmón de células no pequeñas	Cáncer de pulmón de células no pequeñas (NSCLC) es el tipo más común de cáncer de pulmón. Por lo general, crece y se propaga más lentamente que el cáncer de pulmón de células pequeñas
2020-001578-31	Cáncer de pulmón de células no pequeñas (NSCLC) avanzado con mutación MET	Cáncer de pulmón, llamado Cáncer de pulmón de células no pequeñas (NSCLC) con algunas alteraciones genéticas (llamadas mutaciones) del gen llamado gen MET
2021-000857-23	Cáncer de pulmón de células no pequeñas avanzado, Cáncer de pulmón de células no pequeñas metastásico, Cáncer de pulmón de células no pequeñas irresecable en estadio III, Cáncer de pulmón de células no pequeñas en estadio IV	Cáncer de pulmón de células no pequeñas, que está localizado pero es demasiado grande para ser extraído quirúrgicamente o que ya se ha extendido por todo el cuerpo
2019-003859-11	Cáncer de pulmón de células no pequeñas con reordenamientos del gen del protooncogén 1 ROS, receptor de tirosina quinasa (ROS1)	El cáncer de pulmón de células no pequeñas es una enfermedad en la que se forman células malignas (cancerosas) en los tejidos del pulmón
2017-000300-26	Cáncer de pulmón de células no pequeñas, carcinoma renal de células claras predominantemente, carcinoma endometrial, carcinoma urotelial, carcinoma de células escamosas de cabeza o cuello o melanoma (excluyendo melanoma uveal)	Tipos específicos de cáncer de pulmón, riñón, endometrio, vejiga, cabeza y cuello, además de melanoma
2021-001930-20	Cáncer de pulmón microcítico	El cáncer de pulmón microcítico es una enfermedad en la que se forman células cancerosas malignas que se dividen rápidamente en los tejidos del pulmón.
2013-002609-78	Cáncer de pulmón microcítico en estadío limitado	Cáncer de pulmón llamado microcítico limitado en el tórax y no a otros tejidos
2017-000758-20	cáncer de pulmón microcítico en recidiva o resistente	cáncer de pulmón del tipo microcítico, que ha empeorado (en recidiva) después de un tratamiento inicial a base de platino (un tipo de quimioterapia) o que nunca respondió al tratamiento (resistente)
2020-004459-33	Cáncer de Pulmón no microcítico	Cáncer de pulmón de célula no pequeña
2020-003677-21	Cáncer de pulmón no microcítico (NSCLC) EGFR mutado, T790M negativo 	Tipo de cáncer de pulmón llamado cáncer de pulmón no microcítico (NSCLC) con ciertas alteraciones genéticas (llamadas mutaciones) de un gen llamado receptor del factor de crecimiento epidérmico (EGFR) 
2019-002375-34	Cáncer de pulmón no microcítico ALK+	Cáncer de pulmón con mutaciones en el gen ALK
2020-002729-27	Cáncer de pulmón no microcítico epidermoide o no epidermoide metastásico	Cáncer de pulmón metastásico de células no pequeñas
2015-003715-38	Cáncer de Pulmón no microcítico escamoso o no escamoso, metastásico o localmente avanzado (CPNM)	Cáncer Pulmón no microcítico: tipo frecuente cáncer de pulmón que se define como escamoso/no escamoso según las células implicadas. Cáncer metastásico/localmente avanzado es el que empieza a extenderse
2014-003356-30	Cáncer de pulmón no microcítico no epidermoide	Cáncer de pulmón no microcitico de células no epidermoides, que no proviene de las células que recubren las vías respiratorias internas de los pulmones ni es de células cancerosas muy pequeñas
2018-003011-22	Cáncer de pulmón no microcítico sincrónico oligometastásico	un tipo de cáncer de pulmón que se llama cáncer de pulmón no microcítico (CPNM) que se disemina en algunas partes del cuerpo (oligo-metastásico)
2018-003866-14	Cancer de Pulmón no microcítico y Melanoma metastásico	Cancer de Pulmón no microcítico y Cancer de Piel derivado de Melanocitos
2019-000262-38	Cancer de pulmón no microcítico, en estadio II-III, resecable	Cancer de pulmón no microcítico, que puede eliminarse completamente por cirugía
2018-003009-24	Cáncer Endometrial Avanzado	El cáncer endometrial avanzado es el cáncer del revestimiento del útero (o matriz)
2013-003402-40	Cáncer medular de tiroides metastásico progresivo	Cáncer medular de tiroides, un tipo raro de cáncer de tiroides, que se ha extendido a otras partes del cuerpo
2015-004189-27	Cáncer no resecable localmente avanzado o metastásico de mama (CMM)	Cáncer de mama localmente avanzado es enfermedad no metastásica en etapa avanzada. Cáncer de mama metastásico es un cáncer de mama, que puede extenderse más allá del seno a otros órganos en el cuerpo
2018-000789-13	Cáncer orofaríngeo (COF) VPH-16 positivo resistente al platino	Cáncer de cabeza y cuello con infección por el virus del papiloma humano tipo 16
2014-005199-27	Cáncer tiroideo diferenciado resistente a 131-I	Cáncer tiroideo avanzado que no responde a terapia radiactiva basada en Iodo
2017-004415-39	Cáncer urotelial con mutación de HER2/HER3; Cáncer de las vías biliares con mutación de HER2/HER3; Cáncer de mama con mutación de HER2/HER3; Cáncer de mama con amplificación o sobreexpresión de HER2 conforme a directrices de 2013 de la ASCO-CAP; Carcinoma broncopulmonar no microcítico con mutación de HER2/HER3; Cáncer colorrectal con mutación o amplificación de HER2; Otros tumores con mutación, amplificación o sobreexpresión de HER2/HER3 (p. ej., gástrico de unión gastroesofágica, endometrial)	Cánceres del tracto urinario, de las vías biliares, de mama, de pulmón, de estómago, de colon, para los que se ha demostrado un cambio patológico en la expresión de ciertos genes, llamados HER2 y HER3
2017-004556-27	Cáncer urotelial irresecable en estadio IV	Cáncer de vejiga o cáncer del sistema colector urinario que se ha diseminado a otras partes del cuerpo o no se puede tratar con cirugía
2020-002964-29	Cáncer urotelial irresecable metastásico o localmente avanzado	Cáncer urotelial que no puede ser extraído medienta cirugía que ha crecido más allá del área en la que se inició y se ha extendido o aún no se ha extendido a distintas partes del cuerpo.
2020-005802-24	cánceres avanzados de esófago o de la unión esofagogástrica (UEG, también llamada unión UEG-gastroesofágica)	cáncer del tubo que conecta la boca con el estómago
2021-003592-34	Cánceres epiteliales de ovario, peritoneales primarios o de trompa de Falopio recurrentes, sensibles al platino y con alta expresión del receptor de folatos alfa	Cáncer de ovario y órganos afines
2020-000484-23	CARACTERIZACIÓN DE LA FARMACOCINÉTICA DE RITUXIMAB EN PACIENTES CON ENFERMEDADES RENALES CON AFECTACIÓN GLOMERULAR PRIMARIA	Investigación de las variables de pacientes con enfermedades del riñón que podrían afectar al comportamiento de rituximab en su organismo
2019-000309-64	Carcinoma adenoide quistico	Carcinoma adenoide quistico, cancer que afecta a diferentes partes del cuerpo
2016-003122-16	Carcinoma basocelular metastásico o carcinoma basocelular inoperable localmente avanzado	carcinoma basocelular avanzado, que es un tipo de cáncer de piel
2018-000618-39	Carcinoma Colorrectal Metastásico	Este tipo de cáncer se forma cuando las células cancerosas del colon o el recto se diseminan a otras partes del cuerpo
2021-002105-99	Carcinoma de células escamosas de cabeza y cuello	Cáncer de cabeza y cuello
2019-000790-23	Carcinoma de células escamosas de cabeza y cuello (CCECC)	Cancer de cabeza y cuello
2018-002513-36	carcinoma de células escamosas de cabeza y cuello locorregional y recurrente	cáncer recurrente de cabeza y cuello de un tejido cercano a la piel y en un área localizada
2014-000445-79	Carcinoma de células Merkel	Cancer de piel poco frecuente o raro
2021-000050-26	Carcinoma de Células Renales	Cáncer de riñón
2016-000916-14	Carcinoma de Células Renales Avanzado	Cáncer de riñón diseminado a otras partes del cuerpo
2016-003447-11	Carcinoma de cervix recidivante, metastásico o persistente	Cáncer de cérvix que ha regresado, se ha extendido a otras partes del cuerpo o no ha mejorado
2013-005087-25	Carcinoma de páncreas potencialmente resecable	Cancer de páncreas que puede ser operado
