Type	Rank	Freq	Range	NormFreq	NormRange
una búsqueda	238	430	132	461.218	0.657
o a	250	429	117	460.145	0.582
a una	251	428	166	459.072	0.826
en adultos	251	428	76	459.072	0.378
vasos sanguíneos	253	425	117	455.855	0.582
y de	254	423	116	453.709	0.577
tratamientos que	255	421	132	451.564	0.657
resultados de	256	420	155	450.492	0.771
contra el	257	419	138	449.419	0.687
desde donde	257	419	88	449.419	0.438
ganglio linfático	257	419	45	449.419	0.224
la enfermedad	257	419	148	449.419	0.736
en que	261	418	168	448.346	0.836
lo general	261	418	144	448.346	0.716
imagen se	263	417	123	447.274	0.612
signos de	263	417	137	447.274	0.682
es el	265	415	165	445.129	0.821
este procedimiento	266	414	130	444.056	0.647
con una	267	413	150	442.983	0.746
encuentra en	267	413	162	442.983	0.806
tratamiento nuevo	267	413	132	442.983	0.657
se observan	270	412	128	441.911	0.637
la pared	271	409	59	438.693	0.294
las pruebas	271	409	150	438.693	0.746
pruebas para	271	409	152	438.693	0.756
cáncer los	274	408	175	437.620	0.871
una enfermedad	275	407	156	436.548	0.776
siguientes procedimientos	276	400	82	429.040	0.408
inhibidores de	277	399	73	427.967	0.363
tratar el	277	399	119	427.967	0.592
del pdq	279	398	146	426.894	0.726
tratamiento es	279	398	153	426.894	0.761
cancerosas en	281	397	138	425.822	0.687
el pronóstico	281	397	117	425.822	0.582
o se	283	396	146	424.749	0.726
estas pruebas	284	395	125	423.677	0.622
a un	285	394	155	422.604	0.771
con la	285	394	152	422.604	0.756
del abdomen	285	394	74	422.604	0.368
médula espinal	285	394	44	422.604	0.219
el abdomen	289	393	104	421.531	0.517
son los	289	393	161	421.531	0.801
de seguimiento	291	391	133	419.386	0.662
o de	292	389	170	417.241	0.846
niños con	293	388	59	416.168	0.294
o los	293	388	141	416.168	0.701
pacientes con	295	386	112	414.023	0.557
de radioterapia	296	385	87	412.951	0.433
donde se	296	385	120	412.951	0.597
forma en	296	385	162	412.951	0.806
hay diferentes	296	385	126	412.951	0.627
se realizan	300	384	155	411.878	0.771
la boca	301	383	62	410.805	0.308
sarcoma de	302	382	20	409.733	0.100
el hígado	303	380	92	407.588	0.458
el paciente	304	379	107	406.515	0.532
tumor primario	304	379	86	406.515	0.428
la forma	306	378	161	405.442	0.801
de próstata	307	377	14	404.370	0.070
de quimioterapia	307	377	81	404.370	0.403
extirpar el	309	373	96	400.079	0.478
se están	310	372	145	399.007	0.721
pruebas se	311	371	136	397.934	0.677
se forman	312	369	141	395.789	0.701
la vejiga	313	368	39	394.716	0.194
los síntomas	314	367	116	393.644	0.577
pruebas y	315	366	146	392.571	0.726
o más	316	365	114	391.499	0.567
veces el	317	362	127	388.281	0.632
está en	318	361	118	387.208	0.587
cuerpo el	319	360	109	386.136	0.542
cancerosas se	320	359	100	385.063	0.498
los exámenes	321	358	32	383.990	0.159
antes de	322	357	119	382.918	0.592
continuación consulte	323	356	119	381.845	0.592
pruebas de	323	356	140	381.845	0.697
cantidad de	325	354	117	379.700	0.582
clínicos se	325	354	143	379.700	0.711
los pulmones	325	354	80	379.700	0.398
sobre aspectos	325	354	118	379.700	0.587
cáncer consulte	329	353	146	378.627	0.726
factor de	330	350	125	375.410	0.622
de ovario	331	348	20	373.264	0.100
la vagina	332	347	26	372.192	0.129
se desplaza	332	347	88	372.192	0.438
para detectar	334	343	112	367.901	0.557
prueba de	335	342	98	366.829	0.488
una computadora	335	342	126	366.829	0.627
a menudo	337	341	152	365.756	0.756
todo el	338	338	132	362.538	0.657
y procedimientos	338	338	142	362.538	0.706
de enfermedad	340	337	144	361.466	0.716
en algunos	340	337	166	361.466	0.826
se encuentran	342	336	141	360.393	0.701
cuerpo se	343	335	116	359.321	0.577
desplaza a	343	335	87	359.321	0.433
células germinativas	345	334	17	358.248	0.085
desde el	345	334	127	358.248	0.632
los medicamentos	345	334	140	358.248	0.697
una máquina	345	334	129	358.248	0.642
el uso	349	333	90	357.175	0.448
antecedentes de	350	332	150	356.103	0.746
procedimiento también	350	332	127	356.103	0.632
durante el	352	330	135	353.958	0.672
el linfoma	352	330	21	353.958	0.104
la participación	352	330	124	353.958	0.617
de laboratorio	355	327	96	350.740	0.478
trasplante de	355	327	51	350.740	0.254
cuando el	357	325	126	348.595	0.627
linfoma de	358	323	13	346.449	0.065
usan para	359	321	124	344.304	0.617
o después	360	318	129	341.086	0.642
de control	361	317	45	340.014	0.224
portal de	361	317	159	340.014	0.791
incluye los	363	315	75	337.869	0.373
inglés sobre	363	315	155	337.869	0.771
estadio i	365	313	56	335.723	0.279
están probando	365	313	119	335.723	0.592
cabeza y	367	312	60	334.651	0.299
la capa	367	312	64	334.651	0.318
se llaman	367	312	152	334.651	0.756
células tumorales	370	311	90	333.578	0.448
imagen de	370	311	124	333.578	0.617
cuando se	372	310	135	332.506	0.672
o un	372	310	129	332.506	0.642
sangre el	372	310	110	332.506	0.547
se toma	372	310	139	332.506	0.692
la mayoría	376	309	143	331.433	0.711
la mama	377	308	20	330.360	0.100
o en	377	308	120	330.360	0.597
través del	379	307	104	329.288	0.517
de piel	380	306	36	328.215	0.179
tratamientos nuevos	380	306	122	328.215	0.607
el portal	382	305	159	327.143	0.791
cáncer a	383	304	144	326.070	0.716
clínicos patrocinados	384	303	152	324.997	0.756
cosa que	384	303	160	324.997	0.796
de investigación	384	303	143	324.997	0.711
inhibidor de	384	303	60	324.997	0.299
otra parte	384	303	108	324.997	0.537
patrocinados por	384	303	152	324.997	0.756
una imagen	384	303	118	324.997	0.587
de puntos	391	302	40	323.925	0.199
el carcinoma	391	302	36	323.925	0.179
estadio del	391	302	118	323.925	0.587
estadio ii	391	302	57	323.925	0.284
estadio iii	391	302	56	323.925	0.279
una cantidad	391	302	119	323.925	0.592
de tiroides	397	301	11	322.852	0.055
la cantidad	397	301	99	322.852	0.493
resonancia magnética	399	300	106	321.780	0.527
tomografía computarizada	399	300	115	321.780	0.572
consulte los	401	299	155	320.707	0.771
cuerpo y	401	299	129	320.707	0.642
en estudio	401	299	114	320.707	0.567
es importante	401	299	161	320.707	0.801
el tamaño	405	298	86	319.634	0.428
por resonancia	405	298	106	319.634	0.527
rayos x	405	298	129	319.634	0.642
serie de	405	298	135	319.634	0.672
considerar la	409	295	122	316.417	0.607
de hígado	409	295	34	316.417	0.169
de tumores	409	295	107	316.417	0.532
quimioterapia y	409	295	121	316.417	0.602
imágenes por	413	294	107	315.344	0.532
puntos de	413	294	35	315.344	0.174
síndrome de	413	294	70	315.344	0.348
afectan el	416	293	117	314.271	0.582
de falopio	416	293	21	314.271	0.104
estadio iv	416	293	55	314.271	0.274
linfáticos cercanos	416	293	55	314.271	0.274
la cabeza	420	292	54	313.199	0.269
parte de	421	291	122	312.126	0.607
para las	422	290	116	311.054	0.577
se muestran	422	290	99	311.054	0.493
de estas	424	289	126	309.981	0.627
del encéfalo	424	289	31	309.981	0.154
hay signos	424	289	116	309.981	0.577
sistema inmunitario	424	289	92	309.981	0.458
sobre ensayos	424	289	156	309.981	0.776
solo se	424	289	158	309.981	0.786
de recuperación	430	288	130	308.908	0.647
de terapia	430	288	104	308.908	0.517
forma de	432	287	129	307.836	0.642
los huesos	432	287	78	307.836	0.388
para verificar	432	287	118	307.836	0.587
que un	432	287	150	307.836	0.746
mayoría de	436	286	134	306.763	0.667
nuevos tipos	436	286	117	306.763	0.582
número de	436	286	101	306.763	0.502
tejidos del	439	284	124	304.618	0.617
linfático el	440	283	88	303.545	0.438
glóbulos rojos	441	282	40	302.473	0.199
mejorar la	441	282	143	302.473	0.711
signo de	441	282	136	302.473	0.677
uso de	441	282	90	302.473	0.448
de vida	445	281	107	301.400	0.532
radioterapia externa	445	281	103	301.400	0.512
siguientes opciones	445	281	65	301.400	0.323
ayudar a	448	280	105	300.328	0.522
síntomas de	448	280	97	300.328	0.483
u otras	448	280	126	300.328	0.627
podrían considerar	451	279	121	299.255	0.602
pacientes podrían	452	278	121	298.182	0.602
las mujeres	453	277	51	297.110	0.254
si la	453	277	161	297.110	0.801
algunos ensayos	455	276	142	296.037	0.706
de imágenes	455	276	129	296.037	0.642
disponible en	455	276	136	296.037	0.677
el pulmón	455	276	71	296.037	0.353
glóbulos blancos	455	276	54	296.037	0.269
consulte con	460	275	145	294.965	0.721
ayuda a	461	274	132	293.892	0.657
tejido que	461	274	100	293.892	0.498
computarizada tc	463	273	113	292.819	0.562
de cuello	463	273	15	292.819	0.075
el tipo	465	272	116	291.747	0.577
incluye las	465	272	70	291.747	0.348
para observar	465	272	101	291.747	0.502
una sustancia	465	272	120	291.747	0.597
verificar si	465	272	116	291.747	0.577
de atención	470	270	114	289.602	0.567
la célula	470	270	39	289.602	0.194
del tórax	472	269	74	288.529	0.368
sumario del	472	269	110	288.529	0.547
una camilla	472	269	87	288.529	0.433
disemina desde	475	268	86	287.456	0.428
impedir que	475	268	132	287.456	0.657
se necesitan	475	268	133	287.456	0.662
sobre la	475	268	98	287.456	0.488
de esófago	479	267	9	286.384	0.045
sobrevivientes de	479	267	140	286.384	0.697
su tratamiento	479	267	117	286.384	0.582
un cáncer	479	267	118	286.384	0.587
el instituto	483	266	173	285.311	0.861
está disponible	483	266	134	285.311	0.667
el hueso	485	265	69	284.239	0.343
el útero	485	265	30	284.239	0.149
algunos pacientes	487	263	146	282.093	0.726
no hay	487	263	105	282.093	0.522
tratamiento se	487	263	137	282.093	0.682
una serie	487	263	130	282.093	0.647
vasos linfáticos	487	263	97	282.093	0.483
cuerpo que	492	262	112	281.021	0.557
como la	493	261	118	279.948	0.587
y en	493	261	91	279.948	0.453
el sumario	495	260	113	278.876	0.562
comenzó y	496	259	86	277.803	0.428
el recto	496	259	49	277.803	0.244
pacientes pueden	496	259	125	277.803	0.622
cuerpo como	499	258	99	276.731	0.493
de comenzar	499	258	125	276.731	0.622
los factores	499	258	108	276.731	0.537
si las	499	258	108	276.731	0.537
su médico	499	258	126	276.731	0.627
imágenes detalladas	504	257	121	275.658	0.602
recidivó volvió	504	257	121	275.658	0.602
se introduce	504	257	96	275.658	0.478
el encéfalo	507	256	56	274.585	0.279
es la	507	256	119	274.585	0.592
inyecta en	507	256	121	274.585	0.602
por ejemplo	507	256	147	274.585	0.731
en pacientes	511	254	147	272.440	0.731
trompas de	511	254	21	272.440	0.104
el dolor	513	253	60	271.368	0.299
encéfalo y	513	253	32	271.368	0.159
pronóstico probabilidad	513	253	111	271.368	0.552
tejido blando	516	252	29	270.295	0.144
usa una	516	252	113	270.295	0.562
de este	518	251	109	269.222	0.542
la pelvis	518	251	57	269.222	0.284
llevan a	518	251	127	269.222	0.632
clínicos en	521	250	145	268.150	0.721
cáncer o	521	250	141	268.150	0.701
de alta	521	250	120	268.150	0.597
el número	521	250	84	268.150	0.418
calidad de	525	249	85	267.077	0.423
cuerpo para	525	249	139	267.077	0.692
cáncer el	525	249	145	267.077	0.721
células normales	525	249	119	267.077	0.592
depende del	525	249	115	267.077	0.572
los que	525	249	169	267.077	0.841
ondas de	531	248	114	266.005	0.567
antes durante	532	247	123	264.932	0.612
atención de	532	247	110	264.932	0.547
de radiación	532	247	118	264.932	0.587
se diseminaron	532	247	96	264.932	0.478
se utiliza	532	247	110	264.932	0.547
sistema nervioso	532	247	33	264.932	0.164
acerca de	538	245	147	262.787	0.731
causa efectos	538	245	123	262.787	0.612
no hodgkin	538	245	14	262.787	0.070
detección del	541	244	57	261.714	0.284
durante o	541	244	122	261.714	0.607
en ocasiones	541	244	93	261.714	0.463
hasta otras	541	244	90	261.714	0.448
participan en	541	244	122	261.714	0.607
que participan	541	244	122	261.714	0.607
se prueban	541	244	121	261.714	0.602
tumor metastásico	541	244	82	261.714	0.408
pd l	549	243	27	260.642	0.134
el estado	550	242	134	259.569	0.667
la probabilidad	550	242	131	259.569	0.652
metastásico en	550	242	82	259.569	0.408
este tipo	553	241	101	258.496	0.502
forman células	553	241	121	258.496	0.602
de estómago	555	240	18	257.424	0.090
de hodgkin	555	240	13	257.424	0.065
pared del	555	240	35	257.424	0.174
clínicos antes	558	239	119	256.351	0.592
personas que	558	239	160	256.351	0.796
pueden ingresar	558	239	120	256.351	0.597
quimioterapia se	558	239	110	256.351	0.547
siguientes enlaces	558	239	131	256.351	0.652
ciertos factores	563	238	116	255.279	0.577
clínico los	563	238	119	255.279	0.592
del cuello	563	238	44	255.279	0.219
durante la	563	238	109	255.279	0.542
ingresar en	563	238	119	255.279	0.592
intestino delgado	563	238	42	255.279	0.209
nervioso central	563	238	30	255.279	0.149
si se	563	238	118	255.279	0.587
de páncreas	571	237	15	254.206	0.075
disemina a	571	237	87	254.206	0.433
linfoma no	571	237	14	254.206	0.070
malignas cancerosas	571	237	114	254.206	0.567
máquina de	571	237	117	254.206	0.582
necesitan pruebas	571	237	118	254.206	0.587
para que	571	237	131	254.206	0.652
vena o	571	237	120	254.206	0.597
es más	579	236	96	253.133	0.478
la radiación	579	236	118	253.133	0.587
nuevos para	579	236	120	253.133	0.597
para extraer	579	236	100	253.133	0.498
quimioterapia o	579	236	116	253.133	0.577
información que	584	235	131	252.061	0.652
cáncer para	585	233	127	249.916	0.632
estados unidos	585	233	62	249.916	0.308
proceso de	585	233	130	249.916	0.647
células malignas	588	232	113	248.843	0.562
de áreas	588	232	119	248.843	0.592
seguida de	588	232	69	248.843	0.343
significa que	588	232	117	248.843	0.582
tumor se	588	232	82	248.843	0.408
probando nuevos	593	231	115	247.770	0.572
cancerosas de	594	230	107	246.698	0.532
extracción de	594	230	104	246.698	0.517
grupo de	594	230	61	246.698	0.303
se repiten	594	230	116	246.698	0.577
tumor de	594	230	48	246.698	0.239
alta energía	599	229	120	245.625	0.597
células escamosas	599	229	31	245.625	0.154
del tejido	599	229	108	245.625	0.537
o sin	599	229	74	245.625	0.368
solo está	599	229	130	245.625	0.647
al paciente	604	228	97	244.553	0.483
con su	604	228	129	244.553	0.642
de grado	604	228	20	244.553	0.100
microscopio para	604	228	102	244.553	0.507
pérdida de	604	228	81	244.553	0.403
el estómago	609	227	49	243.480	0.244
los estados	609	227	60	243.480	0.299
los antecedentes	611	226	158	242.407	0.786
o una	611	226	112	242.407	0.557
secundarios los	611	226	122	242.407	0.607
saber si	614	225	147	241.335	0.731
un tinte	614	225	118	241.335	0.587
factores afectan	616	224	110	240.262	0.547
información de	616	224	66	240.262	0.328
áreas del	616	224	113	240.262	0.562
los estudios	619	223	53	239.190	0.264
se disemine	619	223	82	239.190	0.408
se presentan	619	223	88	239.190	0.438
una aguja	619	223	75	239.190	0.373
cavidad oral	623	222	11	238.117	0.055
un estudio	624	221	145	237.044	0.721
un paciente	625	220	83	235.972	0.413
uno o	625	220	66	235.972	0.328
control inmunitario	627	219	29	234.899	0.144
muestra una	627	219	106	234.899	0.527
cuando la	629	218	127	233.827	0.632
médico si	629	218	130	233.827	0.647
se mencionan	629	218	62	233.827	0.308
una de	629	218	72	233.827	0.358
de cavidad	633	217	10	232.754	0.050
mencionan a	633	217	62	232.754	0.308
se realiza	633	217	81	232.754	0.403
cáncer infantil	636	216	59	231.681	0.294
para destruir	636	216	114	231.681	0.567
medicamentos para	638	215	134	230.609	0.667
del nci	639	214	141	229.536	0.701
estudio de	639	214	145	229.536	0.721
personas con	639	214	101	229.536	0.502
de ganglios	642	213	41	228.464	0.204
a cabo	643	212	146	227.391	0.726
en niños	643	212	68	227.391	0.338
la presencia	643	212	120	227.391	0.597
los anticuerpos	643	212	62	227.391	0.308
pruebas que	643	212	98	227.391	0.488
siguientes pruebas	643	212	123	227.391	0.612
una célula	643	212	45	227.391	0.224
el sarcoma	650	211	17	226.318	0.085
probable que	650	211	84	226.318	0.418
tratamiento los	652	210	155	225.246	0.771
del tipo	653	209	112	224.173	0.557
el interior	653	209	82	224.173	0.408
en forma	653	209	105	224.173	0.522
se toman	653	209	149	224.173	0.741
y un	653	209	101	224.173	0.502
órganos y	653	209	107	224.173	0.532
dificultad para	659	208	76	223.101	0.378
el líquido	659	208	74	223.101	0.368
el proceso	659	208	124	223.101	0.617
se hacen	659	208	91	223.101	0.453
secundarios del	659	208	138	223.101	0.687
de cm	664	207	33	222.028	0.164
médicos de	664	207	134	222.028	0.667
otras afecciones	664	207	134	222.028	0.667
prevención del	664	207	55	222.028	0.274
terapia de	664	207	52	222.028	0.259
cerca de	669	205	99	219.883	0.493
cáncer es	669	205	129	219.883	0.642
clínicos solo	671	204	122	218.810	0.607
de tres	671	204	99	218.810	0.493
del mismo	671	204	106	218.810	0.527
para pacientes	671	204	110	218.810	0.547
toma una	671	204	118	218.810	0.587
el área	676	203	90	217.738	0.448
hacia el	676	203	120	217.738	0.597
muestras de	676	203	96	217.738	0.478
por cáncer	676	203	119	217.738	0.592
presencia de	676	203	114	217.738	0.567
que tienen	676	203	101	217.738	0.502
torrente sanguíneo	676	203	121	217.738	0.602
de estadificación	683	202	104	216.665	0.517
otros tipos	683	202	126	216.665	0.627
pero no	683	202	76	216.665	0.378
un patólogo	683	202	116	216.665	0.577
cáncer colorrectal	687	201	17	215.592	0.085
de forma	687	201	132	215.592	0.657
la calidad	687	201	75	215.592	0.373
se haya	687	201	60	215.592	0.299
estudios de	691	200	42	214.520	0.209
lo que	691	200	86	214.520	0.428
enfermará de	693	199	107	213.447	0.532
los ovarios	693	199	35	213.447	0.174
una biopsia	693	199	72	213.447	0.358
de cabeza	696	198	69	212.375	0.343
examen físico	696	198	138	212.375	0.687
o síntomas	696	198	74	212.375	0.368
del esófago	699	197	21	211.302	0.104
enfermedad por	699	197	96	211.302	0.478
general de	699	197	133	211.302	0.662
o para	699	197	133	211.302	0.662
pequeña de	699	197	103	211.302	0.512
a pacientes	704	196	135	210.229	0.672
comenzar su	704	196	98	210.229	0.488
del linfoma	704	196	11	210.229	0.055
la niñez	704	196	59	210.229	0.294
todos los	704	196	133	210.229	0.662
ser un	709	195	129	209.157	0.642
signos o	709	195	71	209.157	0.353
debajo de	711	194	75	208.084	0.373
la cavidad	711	194	37	208.084	0.184
por un	711	194	85	208.084	0.423
presenta a	711	194	129	208.084	0.642
de endometrio	715	193	8	207.012	0.040
de tener	715	193	124	207.012	0.617
